strategy,glide_mae,glide_max_abs,mean_clip_minus_strict,q05_clip_minus_strict,q95_clip_minus_strict,cvar05_clip_minus_strict
PCMV,0.21866584154911528,0.3725442873762873,16.117763423987853,-11.578362942906992,25.32805925224511,-6.772966250877694
DOMV,0.054884802794482886,0.11970573344701863,4.202163412158626,0.0,10.848492641878465,-0.9398952736119881
cTCMV,0.10362705758996871,0.2810130814556948,-0.9122105194276031,-1.5435085385172442,4.222395287440861,0.18989287038967007
dTCMV,0.20533436073202355,0.4712783822555623,9.409679092433421,0.0,25.294569169396112,-0.11788250576545067
