strategy,mean,stdev,skewness,q05,q50,q95,cvar05,ucvar95,avg_glide,upper_bind,final_glide
PCMV,70.34357476279712,12.901169224621446,-1.5832115369072035,43.70340373471835,72.9796780980473,86.60316926201418,30.219952654583,90.99371793875471,0.48553787696952655,0.30037242548049053,0.141790276811135
DOMV,70.34515859787703,18.250863513036684,0.23741928646703087,40.63729289483591,69.24959548354624,101.08273587238082,35.44140617361716,110.24858888021498,0.4730178045553587,0.2202519912302683,0.029495117481648556
cTCMV,70.34614842651787,16.08321627496174,-0.08920411794494022,43.70340373471835,71.10546424284871,96.86034058493996,35.165777091512254,103.40913911472457,0.47873973266842007,0.23997482032949882,0.07565370282960147
dTCMV,70.3424014932599,22.85770462612906,0.8994748313537717,39.135789990949135,67.41219352243881,111.93122851425929,33.4325221168981,128.38653752542174,0.28389071339938143,0.04011774165970359,0.47217877440358064
CP,70.34517219958084,22.26062645238787,0.8389968876347362,39.135789990949135,67.41219352243881,111.93122851425929,34.454569941674805,126.1465777568344,0.273138427734375,0.0,0.27313842773437474
