eta0,gamma0,mean,stdev,variance,third_central_moment,skewness,q05,q50,q95,cvar05,ucvar95,F0_backward,F0_forward,G0_backward,G0_forward,K0_backward,K0_forward,mean_abs_glide,mean_upper_binding,terminal_boundary_mass,final_glide
0.0,2.5,70.34483966999646,22.966629856697466,527.4660869745475,11051.165637733982,0.9122550473508759,39.135789990949135,67.41219352243881,111.93122851425929,33.44100204454204,129.07671537893535,70.34489932234571,70.34483966999646,5475.909921016876,5475.862555172057,470479.53137822595,470458.8737754196,0.28113718879958466,0.040022923560414744,3.958028428353315e-07,0.4715481425202983
0.5,2.5,73.3731491021588,25.025028513867554,626.2520521198842,14686.971336095532,0.9371486940167008,39.135789990949135,71.10546424284871,118.63753046550686,33.33849782344408,137.73927708790913,73.37350824293439,73.37314910215883,6010.088372432277,6009.87106128751,547643.419949125,547550.3071921439,0.37696467955471774,0.09417749834448016,1.5070587951533454e-06,0.47349566222362277
1.0,2.5,84.27994619039531,33.70501900675924,1136.0283062460016,40117.172917335745,1.047723273746411,39.135789990949135,78.71121401515323,146.8957439677497,32.73749324585006,172.95095331064533,84.30504353910321,84.27994619039531,8253.157553516017,8239.137636101927,931905.2742585966,926000.0585856247,0.5663168744748746,0.207706376652374,5.0751329087892945e-05,0.4801628706594355
2.0,2.5,97.66341389324043,46.72052017585704,2182.8070055026647,101169.97577918178,0.9920387526545497,39.135789990949135,88.6200731655727,187.98538081318142,30.699589308975888,218.73661042838373,98.14774331380153,97.66341389324043,11989.75843387569,11720.94941878505,1784907.517426945,1672238.678142665,0.7493621881012399,0.4913575324792421,0.0007195344502583183,0.4830525794448248
