year,PCMV,DOMV,cTCMV,dTCMV,CP,MVS_fixed_eta_0,MVS_fixed_eta_0.5,MVS_fixed_eta_1,MVS_fixed_eta_2
0.0,1.0,1.0,1.0,1.0,0.273138427734375,1.0,1.0,1.0,1.0
1.0,0.9999999997989605,1.0,0.9999999999999963,0.9443585842324046,0.2731384277343752,0.942003032550752,0.9998414611811598,1.0,1.0
2.0,0.9999286347519643,0.9999995478171004,0.9999999962219958,0.6704798125716136,0.2731384277343749,0.6592763838485481,0.9863833653546872,0.9999999971330804,0.99999999999999
3.0,0.9977876514702884,0.9999952357817337,0.9993942728115516,0.4659096006464955,0.27313842773437497,0.4517730431763217,0.9093431483379673,0.9999925482127728,0.9999999965759244
4.0,0.9896100921833793,0.9991334619205917,0.9887391542937207,0.35040846541885473,0.27313842773437497,0.3350340181751757,0.788964348984427,0.999687135484658,0.999998603466355
5.0,0.9652838467069125,0.9968499172965604,0.9772210332297875,0.278809316917203,0.2731384277343749,0.2651505887199427,0.6128749508179651,0.9972659978940392,0.999962338367476
6.0,0.9371790082242808,0.9863333277611458,0.9584478501243904,0.23266335031570914,0.273138427734375,0.2246461128168244,0.5089634859029769,0.9865925357050884,0.9997407552757652
7.0,0.9041665854945973,0.9624270650343673,0.9185630110698336,0.20076530428333914,0.2731384277343751,0.1911287683940913,0.4374893218087912,0.9393462494519098,0.9990422393304412
8.0,0.8505561438893136,0.9408134253215803,0.8852974861191028,0.17753226880353387,0.27313842773437497,0.1717376393553323,0.3557253798724019,0.8204153075245857,0.997238871013427
9.0,0.790590372973017,0.901708138247904,0.8677471975518692,0.1602464347874213,0.273138427734375,0.1527123044611518,0.3125642385880756,0.6985889291935022,0.993514262417006
10.0,0.7497712565081249,0.846958400213475,0.7887696280226811,0.14739315020638655,0.27313842773437513,0.1430484429300391,0.2741517967094398,0.6176547050747212,0.9890812125910752
11.0,0.7026216802159677,0.8066715593638252,0.7818014288581321,0.13729443069655006,0.2731384277343749,0.1303557248925559,0.2222984266451679,0.5615642062613709,0.9822451282002008
