time,eta_0,eta_0.5,eta_1,eta_2
0.0,1.0,1.0,1.0,1.0
0.08333333333333333,1.0,1.0,1.0,1.0
0.16666666666666666,1.0,1.0,1.0,1.0
0.25,1.0,1.0,1.0,1.0
0.3333333333333333,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
0.41666666666666663,0.9996868521960304,1.0,1.0,1.0
0.5,0.998455791021277,1.0,1.0,1.0
0.5833333333333333,0.9956046265175623,1.0,1.0,1.0
0.6666666666666666,0.9905086636149552,1.0,1.0,1.0
0.75,0.982724707517577,0.9999997933990619,1.0,1.0
0.8333333333333333,0.9720279395549618,0.999998068226656,1.0,1.0
0.9166666666666666,0.9584019948151065,0.9999903790486555,1.0,1.0
1.0,0.9420030325507519,0.9998414611811598,1.0,1.0
1.0833333333333333,0.9231136891165416,0.9999400523470142,0.9999999999999998,0.9999999999999998
1.1666666666666665,0.9020971832449667,0.9997752187410418,1.0,1.0
1.25,0.8793572096608635,0.9995115654771971,0.9999999999999998,0.9999999999999999
1.3333333333333333,0.8553059902166439,0.9990516644024525,0.9999999999999989,0.9999999999999999
1.4166666666666665,0.8303408058341466,0.998305229022534,0.9999999999999748,1.0
1.5,0.8048282069179499,0.9985485624643279,0.9999999999996804,0.9999999999999999
1.5833333333333333,0.7790945974529012,0.9976447354958692,0.9999999999973685,1.0
1.6666666666666665,0.7552115193898825,0.9964056196427716,0.9999999999842465,1.0
1.75,0.7302938488190311,0.9947461395680157,0.999999999925877,0.9999999999999999
1.8333333333333333,0.7059104986587424,0.9925795760526962,0.9999999997110776,0.9999999999999993
1.9166666666666665,0.6822033387419878,0.9898197043620117,0.9999999990317116,0.9999999999999974
2.0,0.6592763838485481,0.9863833653546873,0.9999999971330805,0.99999999999999
2.083333333333333,0.637200924392299,0.9698789700371275,0.9999999923461694,0.9999999999999417
2.1666666666666665,0.6160206761745429,0.9834306528349634,0.9999999812831986,0.9999999999998018
