gamma_p,target_z,mean,stdev,skewness,q05,q50,q95,cvar05,avg_glide,upper_bind,final_glide
0.12,80.75794813825696,72.43278102725034,14.046267383865482,-1.600358427004176,40.63729289483591,74.87211810870319,88.6200731655727,28.95352122503794,0.5193653577210992,0.31595617297176026,0.1553208604014823
0.1325,78.76902570602387,71.23712119958022,13.37734615615397,-1.5955094247559478,42.159895196201106,72.9796780980473,86.60316926201418,29.65714410260269,0.5005166971480783,0.3073149232360105,0.14505799243354128
0.13875,77.8707529471088,70.68727459686113,13.081856298124558,-1.5891077740410553,42.159895196201106,72.9796780980473,86.60316926201418,30.005983069533595,0.49136838067124977,0.3030112688071344,0.14472201011596716
0.14187500000000003,77.4512951830339,70.42757899985239,12.944863759838316,-1.5847748273995856,42.159895196201106,72.9796780980473,86.60316926201418,30.166285661018197,0.48697061810344405,0.3009149555872211,0.1455019119584653
0.14265625000000004,77.3493021670157,70.36217537864088,12.910726589917177,-1.5831867131590098,42.159895196201106,72.9796780980473,86.60316926201418,30.2099992382679,0.4858718930146434,0.3004848167116305,0.14148824123084888
0.14285156250000003,77.32397822429091,70.34706669694138,12.902865345629229,-1.5831051718031044,43.70340373471835,72.9796780980473,86.60316926201418,30.218585194116784,0.4856098732609514,0.300380916239457,0.14177028243622228
0.14286376953125002,77.32239777691954,70.34535036510606,12.901922561570858,-1.5833020308589865,43.70340373471835,72.9796780980473,86.60316926201418,30.219132906016462,0.4855609946206638,0.30037523308096925,0.1417818235876955
0.14286682128906253,77.32200270727634,70.34524856765276,12.901862530411254,-1.583300272333775,43.70340373471835,72.9796780980473,86.60316926201418,30.21921811545415,0.4855593975336372,0.30037500186810384,0.1417816086921634
0.14286720275878909,77.32195332475767,70.34523584761347,12.901855039541955,-1.5833000486908058,43.70340373471835,72.9796780980473,86.60316926201418,30.219228760086814,0.4855591979496069,0.30037497296016774,0.14178158255490617
0.14286739349365235,77.32192863359722,70.3452294872631,12.901851299273211,-1.5832999333675064,43.70340373471835,72.9796780980473,86.60316926201418,30.21923409629583,0.48555909816122983,0.30037495850412516,0.14178156920424492
0.14286758422851564,77.32190394250271,70.34432275455444,12.90160895027037,-1.583219420008412,43.70340373471835,72.9796780980473,86.60316926201418,30.21934975480294,0.4855497728739045,0.3003740682003661,0.141791630678748
0.14286834716796878,77.32180517878393,70.34429730105573,12.901593957597653,-1.5832189704019333,43.70340373471835,72.9796780980473,86.60316926201418,30.219371072968393,0.48554937362001277,0.3003740105796515,0.14179157910393364
0.14286987304687504,77.32160765451081,70.34424639456181,12.901563973061208,-1.5832180710848547,43.70340373471835,72.9796780980473,86.60316926201418,30.219413717058572,0.48554857508855576,0.30037389535012926,0.14179147406655385
0.14287597656250003,77.32081759960855,70.34402481043685,12.901434312927144,-1.5832194033911258,43.70340373471835,72.9796780980473,86.60316926201418,30.219575836093426,0.4855449442917729,0.3003734454534595,0.14179119555285913
0.14290039062500004,77.31765805489087,70.34235506541752,12.900492103960524,-1.5833822155771649,43.70340373471835,72.9796780980473,86.60316926201418,30.220102309269276,0.48549788257163823,0.3003624976488245,0.1417964054267769
0.14294921875000002,77.31134220313626,70.33647209429252,12.897397187757075,-1.5830877735286482,43.70340373471835,72.9796780980473,86.60316926201418,30.22512087529871,0.4854036117962432,0.3003431990392765,0.14101036585858784
0.14304687500000002,77.29872343487779,70.33041427466392,12.893964127845232,-1.5830495933507722,43.70340373471835,72.9796780980473,86.60316926201418,30.228862654688683,0.48529085192007637,0.3003246363302958,0.14102906726117143
0.14343750000000002,77.24842018603037,70.30128923837498,12.879229409038526,-1.5821263344129708,43.70340373471835,72.9796780980473,86.60316926201418,30.252453189878985,0.4848057108058551,0.2998871437209248,0.1394861126013402
0.14500000000000002,77.04991749499673,70.17819148258454,12.81531876961213,-1.579986269259986,43.70340373471835,72.9796780980473,86.60316926201418,30.33887905133704,0.4826709692632593,0.29891362281279577,0.13998594841634385
0.17,74.29740810978173,68.42773812234765,11.950453869006136,-1.5279768193086627,45.267631401426,69.24959548354624,84.60372804643204,31.61070214857574,0.45037215880335624,0.28221514787966956,0.12710192084015987
