strategy,year,median_x,mean,stdev,skewness,q05,q95,cvar05,ucvar95,risky_fraction,backward_mean,backward_stdev
PCMV,0,0.09894075959347055,70.38283201157607,12.905525766053538,-1.583341984456027,43.70340373471835,86.60316926201418,30.245832592541284,91.0400883639801,1.0,70.38283201157323,12.905525766060826
PCMV,10,12.909996121851009,70.87429227238674,12.05065610382022,-1.6428875335488,46.852396820816026,86.60316926201418,33.32710824027355,90.40907348827301,0.9285714030265808,70.87429227238462,12.050656103826165
PCMV,20,31.95199641049627,72.37115697753276,9.362749239696322,-1.5439883266466055,55.07830796684873,84.60372804643204,44.83946663314169,88.97920601175073,0.32041656970977783,72.37115697753131,9.362749239701456
PCMV,30,51.72818579717866,72.63821954733733,6.501371985927658,-1.088908739676046,62.012049273161985,82.62185179595865,54.76495292903313,85.18090088351367,0.06542244553565979,72.6382195473366,6.50137198593119
PCMV,35,62.012049273161985,72.5733410103098,4.5076175949997825,-0.5061144933683791,65.59338293548683,80.65764491557572,61.493314791998124,82.0529771966445,0.03751537948846817,72.57334101030945,4.50761759500227
PCMV,39,71.10546424284871,73.19701450654341,1.9010257610508816,0.8108105167252608,71.10546424284871,76.78266799050034,70.97032312157953,77.67778334429735,0.0,73.19701450654334,1.9010257610517638
DOMV,0,0.09894075959347055,70.37144631544477,18.251635499807644,0.23730090483875363,40.63729289483591,101.08273587238082,35.461205866246765,110.27687396632707,1.0,70.37144631544196,18.251635499812544
DOMV,10,12.909996121851009,70.08916784427747,16.1584409606824,0.12161338218646058,43.70340373471835,96.86034058493996,37.90638889012119,104.44437081792768,0.7981042746041874,70.08916784427532,16.15844096068676
DOMV,20,30.581532253294114,69.85273219642545,11.52399622324356,0.07820686784850056,51.72818579717866,88.6200731655727,46.452814253916,94.20566928228968,0.33529415725903605,69.852732196424,11.523996223247973
DOMV,30,50.08284233536714,70.28987880042354,6.727976809521284,0.22365175149772495,60.24979081859183,82.62185179595865,57.263036036694096,85.07754865010571,0.12511791357823737,70.28987880042277,6.727976809525677
DOMV,35,60.24979081859183,70.55162449758075,4.362772548759026,0.38692030463293564,63.793291290635686,78.71121401515323,62.71231951672554,80.41548357269033,0.03624546760185119,70.55162449758039,4.362772548762344
DOMV,39,67.41219352243881,69.4993961092544,1.8843556566455015,0.8076805343055538,67.41219352243881,72.9796780980473,67.2719016196686,73.94110283253195,0.0,69.49939610925432,1.884355656647183
cTCMV,0,0.09894075959347055,70.36934191999822,16.083408921883606,-0.08897922509782122,43.70340373471835,96.86034058493996,35.19859010148428,103.43064322480653,1.0,70.36934191999539,16.083408921889493
cTCMV,10,11.94051980517448,69.14673523369179,14.66907401520992,-0.14605256606950653,45.267631401426,92.7058701311799,36.47578666662802,98.99590524388388,0.9285714285714285,69.14673523368972,14.669074015214505
cTCMV,20,30.581532253294114,69.96127768516712,10.97042140673737,0.011859375804243216,53.39339325316426,88.6200731655727,47.0655554069634,93.19269790276411,0.35103293464315755,69.96127768516575,10.97042140674154
cTCMV,30,50.08284233536714,70.77543001845709,7.407256614580704,0.27223165189247744,58.50665325379375,82.62185179595865,56.719993489693806,87.12791416039967,0.07142857142857142,70.77543001845638,7.407256614584071
cTCMV,35,60.24979081859183,71.09007293049272,5.317802366115139,0.2711519865562753,62.012049273161985,80.65764491557572,60.92962070309557,82.77628051095898,0.07142857142857142,71.09007293049235,5.317802366117996
cTCMV,39,67.41219352243881,69.6340812523764,2.3689488740665454,0.4011578913045328,65.59338293548683,72.9796780980473,65.27397669166328,75.03499592975072,0.07142857142857142,69.63408125237635,2.368948874066802
dTCMV,0,0.09894075959347055,70.4630992123064,22.940355751152993,0.901013067296466,39.135789990949135,111.93122851425929,33.432264803691176,128.74395617715857,1.0,70.46309921230366,22.9403557511567
dTCMV,10,10.999704081651807,69.4697530319131,21.769146130766387,0.8505080321070733,39.135789990949135,109.72844366410754,33.83498656543446,124.27206550476848,0.14285714285714285,69.46975303191091,21.769146130769638
dTCMV,20,24.074315644008184,68.92774220560474,20.16283064204588,0.7614358219791726,40.63729289483591,105.37233515089733,35.062916093594346,118.8755806241353,0.07142857142857142,68.92774220560332,20.16283064204805
dTCMV,30,40.63729289483591,67.86579376713895,16.7542215486044,0.6149147978536808,43.70340373471835,98.96309330796707,38.56482813879753,108.39508163300994,0.4459586174886577,67.86579376713824,16.754221548605695
dTCMV,35,53.39339325316426,68.12719966081899,12.411578825349064,0.5067903545758186,50.08284233536714,90.65433953454442,45.8207344875492,97.42827159376344,0.42857142857142855,68.12719966081866,12.41157882534973
dTCMV,39,63.793291290635686,66.91704543328217,5.666371717277905,0.24674455007404097,58.50665325379375,76.78266799050034,56.01541273929488,79.35012098361456,0.43601887799030237,66.91704543328213,5.6663717172780075
