strategy,parameter,value,target_mean,achieved_mean,absolute_mean_error
PCMV,gamma_p,0.14258942569203456,70.34483966999646,70.36807765313294,0.0232379831364824
DOMV,gamma_d,0.206240234375,70.34483966999646,70.33259506015179,0.012244609844671572
cTCMV,gamma_c,0.12570312500000003,70.34483966999646,70.33824273517986,0.006596934816599287
dTCMV,rho_d,2.5,70.34483966999646,70.42253114751081,0.07769147751434957
CP,theta_cp,0.27294921875,70.34483966999646,70.33273882179716,0.01210084819929591
