eta0,gamma0,mean,stdev,skewness,q05,q50,q95,cvar05,ucvar95
0.0,2.5,70.34483966999647,22.966629856697466,0.9122550473508737,39.135789990949135,67.41219352243881,111.93122851425929,33.441002044542046,129.07671537893538
0.5,2.5,73.3731491021588,25.025028513867554,0.9371486940166999,39.135789990949135,71.10546424284871,118.63753046550686,33.33849782344408,137.73927708790907
1.0,2.5,84.27994619039531,33.705019006759244,1.0477232737464108,39.135789990949135,78.71121401515323,146.8957439677497,32.73749324585006,172.9509533106453
2.0,2.5,97.66341389324043,46.72052017585703,0.9920387526545501,39.135789990949135,88.6200731655727,187.98538081318142,30.69958930897589,218.73661042838373
