eta0,gamma0,mean,stdev,variance,third_central_moment,skewness,q05,q50,q95,cvar05,ucvar95,F0_backward,F0_forward,G0_backward,G0_forward,K0_backward,K0_forward,mean_abs_glide,mean_upper_binding,terminal_boundary_mass
0.0,2.5,76.9416034711295,24.133712020849014,582.4360559052723,12764.806952889388,0.9081171400710444,43.703403734718336,73.73447353397204,121.36084505669356,38.72121256836542,138.44099551101166,76.94174848963362,76.94160347112951,6502.5287457503555,6502.4464006138005,602735.7944835282,602700.5876226936,0.4170068355060392,0.05431275905243318,6.657424640911497e-07
1.0,3.11005859375,76.9339304992994,22.776864724430556,518.785566675009,9804.279837414259,0.8297244180576936,44.63946577228614,73.73447353397204,118.63753046550686,39.739745025844115,133.9746757712022,76.9339656222052,76.93393049929938,6437.635309887319,6437.61522874604,584908.3896553022,584899.7478882228,0.459463562758001,0.09456620622351589,1.0474945153703338e-07
2.0,3.5257812499999996,76.97208811901147,22.154076374050188,490.8030999872488,8422.183687020164,0.7745755131521557,45.58294717159074,74.87211810870318,117.28458115737942,40.41064215046809,132.0880980068022,76.97210258155226,76.97208811901146,6415.513773779073,6415.505449388114,577796.918159888,577793.3133879253,0.4813455919250817,0.13047644720436058,3.332235411797046e-08
4.0,4.0865234374999995,76.9155896542211,21.540456151930808,463.99125123325376,7066.738567366287,0.7070568551476056,46.53380923774117,74.87211810870318,115.93745936697181,40.50941151953483,129.66525625586254,76.91559628148292,76.91558965422111,6380.002989717048,6379.999183089777,569166.1040205841,569164.4590941764,0.4918842481958362,0.14007353417977414,1.0109417877327144e-08
8.0,4.971142578124999,76.92773737194123,22.06436952342521,486.83640246625527,8661.23248147073,0.8063157241888333,45.58294717159074,74.87211810870318,117.28458115737942,40.12973231986132,132.17020049100148,76.92783204549748,76.92773737194132,6404.767716411858,6404.713179632631,576287.4006078485,576263.7717309103,0.5105771965153473,0.24631147030701347,5.5216862343909736e-08
