kind,eta0,gamma0,mean,stdev,variance,third_central_moment,skewness,q05,q50,q95,cvar05,ucvar95,F0_backward,F0_forward,G0_backward,G0_forward,K0_backward,K0_forward,mean_abs_glide,mean_upper_binding,terminal_boundary_mass
fixed,0.0,2.5,70.34483966999647,22.966629856697462,527.4660869745475,11051.165637733957,0.9122550473508736,39.135789990949135,67.41219352243881,111.93122851425927,33.441002044542046,129.07671537893538,70.34489932234571,70.34483966999647,5475.9099210168815,5475.862555172057,470479.5313782255,470458.8737754196,0.2811371887995846,0.0400229235604147,3.958028428353317e-07
fixed,0.5,2.5,73.3731491021588,25.025028513867557,626.2520521198841,14686.971336095516,0.9371486940167,39.135789990949135,71.10546424284871,118.63753046550686,33.33849782344408,137.73927708790907,73.37350824293439,73.37314910215882,6010.088372432277,6009.871061287509,547643.4199491246,547550.3071921436,0.3769646795547177,0.0941774983444801,1.5070587951533435e-06
fixed,1.0,2.5,84.27994619039531,33.705019006759244,1136.028306246002,40117.17291733576,1.0477232737464108,39.135789990949135,78.71121401515323,146.8957439677497,32.73749324585006,172.9509533106453,84.30504353910338,84.27994619039531,8253.157553516025,8239.137636101927,931905.2742585966,926000.0585856248,0.5663168744748744,0.207706376652374,5.075132908789293e-05
fixed,2.0,2.5,97.66341389324045,46.72052017585703,2182.807005502664,101169.97577918178,0.99203875265455,39.135789990949135,88.6200731655727,187.98538081318145,30.69958930897589,218.73661042838373,98.1477433138016,97.66341389324045,11989.7584338757,11720.949418785049,1784907.5174269462,1672238.6781426645,0.7493621881012399,0.4913575324792421,0.0007195344502583
