strategy,paths,seed,mean,mean_se,sd,q05,median,q95,lcvar05,shortfall60,expected_shortfall60,ever_above_cap,negative_steps
PCMV,1000000,20260912,84.77153093649453,0.018942402821146263,18.942402821146263,38.19367055456481,92.35007767555221,100.22461960727361,28.79850531233463,0.117428,2.305411228174026,0.0,0
DOMV,1000000,20260912,84.78307552623913,0.02441389888133538,24.41389888133538,46.86895679781391,83.47603420551509,127.06023397488808,39.20355578996653,0.155105,1.6484105354181626,0.0,0
cTCMV,1000000,20260912,84.7912772041051,0.023156978161332525,23.156978161332525,47.16063077690162,84.46737074805205,123.47057573011064,38.527088567293866,0.143305,1.600357497107006,0.0,0
dTCMV,1000000,20260912,84.78625667547965,0.03231271801797886,32.31271801797886,43.17284770915598,79.25810644206354,145.25155296548934,37.33224381799091,0.225568,2.4414138161394665,0.0,0
CP,1000000,20260912,84.78538898025519,0.031687356190880485,31.687356190880482,45.22689128104246,78.92994404809293,144.18618553363237,39.899531549582754,0.214324,2.0858349428060308,0.0,0
