target,strategy,prob,prob_se,expected_shortfall,es_se
40,PCMV,0.055885,0.0002296995140939571,0.5653646890221269,0.0028282755263657456
60,PCMV,0.117428,0.0003219295960547896,2.305411228174026,0.007507588998541968
80,PCMV,0.247725,0.0004316912373155147,5.69611888183539,0.013447750166783142
100,PCMV,0.933215,0.000249649281543128,15.264602783761445,0.01891257992463905
40,DOMV,0.02262,0.00014868872048679415,0.14341496326013084,0.0012430674039038434
60,DOMV,0.155105,0.0003620047499343068,1.6484105354181626,0.005090832034614744
80,DOMV,0.443029,0.0004967437016802529,7.447817656313163,0.011648740836006767
100,DOMV,0.741861,0.00043761085073270293,19.439093111282737,0.018191334196479655
40,cTCMV,0.02383,0.00015251928107619706,0.1770147874868545,0.0014848313678461147
60,cTCMV,0.143305,0.00035038361402183176,1.600357497107006,0.005229166334368002
80,cTCMV,0.424144,0.0004942123706100444,7.041288758730853,0.011587862711810764
100,cTCMV,0.745088,0.0004358117394655633,18.849142974218932,0.018020191197895087
40,dTCMV,0.032084,0.00017622320205920672,0.16329897443633876,0.0011610189697376532
60,dTCMV,0.225568,0.00041795583184829475,2.4414138161394665,0.005871458098907407
80,dTCMV,0.510167,0.00049989662142387,9.805461145144593,0.01304125542191967
100,dTCMV,0.7361,0.00044074572034224,22.42538893003866,0.01982036906731996
40,CP,0.021146,0.0001438709375933861,0.08708573874943458,0.0007687972884204421
60,CP,0.214324,0.0004103525594217733,2.0858349428060308,0.00516570321844101
80,CP,0.515316,0.0004997653650904593,9.39694076504304,0.012333705704162616
100,CP,0.74542,0.0004356248656814714,22.185386744896228,0.019092173765426566
