year,x,contrast,mean,se,low,high,negative_steps,above600_steps
20,20.0,dTCMV-cTCMV,1.8066952244426482,0.025034119717554138,1.7576283497962422,1.8557620990890542,0,0
30,45.0,dTCMV-cTCMV,5.736399385203747,0.028538325617131818,5.680464266994169,5.792334503413325,0,0
35,30.0,dTCMV-cTCMV,0.4577733089955132,0.006092935452081432,0.4458311555094336,0.46971546248159285,0,0
