year,x,strategy,paths,seed,mean,se,sd,q05,median,q95,lcvar,shortfall60,es60,fraction
20,20.0,PCMV,200000,20260915,73.47524298939746,0.04941409872234294,22.098656758008865,28.782249167439033,81.07633811387807,97.50192175029322,22.85889490681738,0.250015,5.0187080582247825,1.0
20,20.0,DOMV,200000,20260915,66.01651556611914,0.0365212246880071,16.332788204785484,39.74680660270028,65.64484474868122,93.56235698685094,33.70789274668691,0.36365,3.899032044677587,0.796875
20,20.0,cTCMV,200000,20260915,67.9759709259548,0.040275100582863925,18.01157254078503,38.45876995849027,67.85686204752287,97.84160470256535,31.377292596151587,0.33071,3.8794698702965396,0.75
20,20.0,dTCMV,200000,20260915,69.78266615039745,0.056245783820367004,25.15387921401969,36.92929839947657,65.62490695678233,116.48743385285245,32.10809195619711,0.39818,4.929407845823314,0.390625
20,20.0,CP,200000,20260915,67.75262153714993,0.04818384600632912,21.548471017506735,39.44289128389602,64.30720571824511,107.71070942516616,35.184987378015066,0.4103,4.490770766688108,0.46888421662151814
30,45.0,PCMV,200000,20360915,75.9139009501708,0.038354816276262534,17.152795291647674,38.74271087457023,80.86559962180296,95.04211329526582,31.355798602124267,0.17087,2.641025091288978,0.71875
30,45.0,DOMV,200000,20360915,70.20648121881631,0.02310557063845232,10.333125321300521,53.231803153097346,70.17595539536426,87.28165067284937,48.969688514252255,0.161195,0.8748463879035661,0.40625
30,45.0,cTCMV,200000,20360915,72.14087934605335,0.029105306053967214,13.01628856852137,50.71076421315804,72.10779563921653,93.59654465070346,45.28054563832067,0.174955,1.2304032429286906,0.4375
30,45.0,dTCMV,200000,20360915,77.87727873125712,0.05502388297868093,24.607428545264835,44.6036903010293,74.20346809483418,123.50012250212966,39.45658922835136,0.244175,2.3308251503941304,0.453125
30,45.0,CP,200000,20360915,74.84901667107468,0.04196658271303364,18.768026345942154,48.54090185960763,72.48525340580343,109.1409503182683,44.06279007872075,0.21892,1.6410809073722321,0.46888421662151814
35,30.0,PCMV,200000,20460915,44.821549158183764,0.035256741342300654,15.76729406130229,22.814603713760917,42.2265819267208,74.15407686894511,19.702552129432732,0.805555,17.072483354253578,1.0
35,30.0,DOMV,200000,20460915,40.72462301717286,0.014418252392163504,6.44803849312531,30.15867075414039,40.709073871883604,51.345088321133176,27.45015151942522,0.998565,19.277973872928747,0.5234375
35,30.0,cTCMV,200000,20460915,42.06966829591558,0.02046058124238549,9.150250103426211,27.003354868823507,42.051811882432034,57.16103055865077,23.26638359413307,0.975205,18.01661220045379,0.71875
35,30.0,dTCMV,200000,20460915,42.5274416049111,0.024397678942901197,10.910973721908457,27.12630774830952,41.21372527775914,62.330421864669034,24.45865851277443,0.931775,17.969152695188477,0.6171875
35,30.0,CP,200000,20460915,40.95547777894655,0.01624159594544843,7.263462519421531,30.21195802720306,40.310422101795766,53.87681431079437,28.123135746007012,0.98807,19.09171951827541,0.46888421662151814
