strategy,prob_weighted_region_agreement,prob_weighted_policy_mae,robust_interior_region_agreement,q95_difference,derivative_invalid_mass_share
cTCMV,0.897804,0.096833,1.0,0.263394,1.740555e-08
dTCMV,0.957958,0.156024,1.0,0.412315,3.675023e-04
