year,median_x,H,H_over_x,total_wealth_multiplier,Gamma,strict_risky_fraction,effective_time_coefficient,upper_bound,unconstrained_theta
0,0.08333333333333333,30.0655128237698,360.78615388523764,361.78615388523764,0.039582256938839495,1.0,0.0027640637687787535,1,0.08901348877309194
10,10.999704081651808,24.14617597237612,2.195165960205552,3.195165960205552,0.0339544599015734,0.1428571428571428,0.0447103983443641,0,0.18188323467700757
20,24.074315644008184,17.269531903000658,0.7173425886064114,1.7173425886064115,0.0288642554044619,0.3639257398615283,0.211912138134795,0,0.3268570571247001
30,45.267631401426,9.28075970705037,0.2050197772609329,1.205019777260933,0.0218770774123631,0.4899436195714529,0.4065855422598274,0,0.5728989462837291
35,58.50665325379375,4.814204058933037,0.0822847281667212,1.0822847281667212,0.0188462289622245,0.6428571428571428,0.5939815338114182,0,0.7641946204899277
39,72.9796780980473,0.9919221745508994,0.0135917586977879,1.013591758697788,0.0161326694380311,0.9285714285714284,0.9161197499912692,0,0.971906339293567
