strategy,max_defect,weighted_defect,weighted_mass_above_1e_8,worst_month,worst_wealth,saved_action,best_action,mean0
cTCMV,7.240609626757532,0.00030997980913917373,0.7472757198307254,454,271.7226368880586,1.0,0.0,84.77917176084776
dTCMV,5.020393477949938,0.001525409252829626,0.9503984614188736,479,300.0,1.0,0.0,84.77810122830194
