year,theta_correct,theta_reference,foc_residual
0,0.0676118548345037,0.08901348877309377,1.491862189340054e-16
10,0.13116603278683514,0.18188323467709921,-6.938893903907228e-17
20,0.2316368138714047,0.3268570571246921,2.7755575615628914e-17
30,0.42415331032233283,0.572898946283763,2.7755575615628914e-17
35,0.6164661260265544,0.7641946204899215,-2.0816681711721685e-17
39,0.9134921644800299,0.9719063392935711,2.0816681711721685e-17
40,1.0345315309854317,1.0345315309854317,0.0
