strategy,paths,mean,mean_se,sd,q05,q50,q95,lcvar05,ucvar05,shortfall60,expected_shortfall60,avg_glide,ever_above300,negative_steps
PCMV_saved,100000,94.68314301706961,0.023440013482284014,7.412383098907236,79.1093483815923,97.57371692246134,99.16199254288352,69.87112309918041,99.31680612032328,0.00729,0.07353025240128498,0.17316246341096164,0.0,0
DOMV_saved,100000,97.42555119591769,0.03787206480730524,11.976198448459044,77.42795700462344,97.80901428423022,116.81281979876144,72.4441601664545,121.5728599363001,0.00098,0.0033073268904080413,0.24179664542099755,0.0,0
cTCMV_saved,100000,98.84024477720014,0.044277706827548065,14.001840314424019,76.27557225546379,98.89293620779416,121.88164468899404,70.81291669890427,128.13792550564253,0.00201,0.007142052600176346,0.27829314838459873,0.0,0
dTCMV_saved,100000,114.52941469332013,0.14083621248527786,44.536320848492124,57.824967458419096,106.89738837326075,196.47389689889047,49.91532210545061,234.02869524421627,0.06131,0.5165386391050174,0.6581782906807401,0.00484,0
CP,100000,106.3939312722323,0.08647307416934855,27.345187065181427,68.04664284977265,102.99610237347179,156.56208945134543,61.62591799299002,174.52064837980598,0.01535,0.07629392193651698,0.46947350000000015,0.0,0
PCMV_clip_fixed_target,100000,95.18853668292714,0.024331449842685177,7.694280027703077,80.89372848755373,97.30596666903483,102.45999575248872,71.2168182169358,102.9995099236376,0.00649,0.07176093918572636,0.18468805779325959,0.0,0
DOMV_clip,100000,96.11658815662052,0.031880232007098136,10.081414547703137,79.51247820529866,96.13315047394424,112.69223116231615,75.29641022481728,116.88878685558497,0.00017,0.00031944008513150335,0.20394183777504765,0.0,0
cTCMV_clip,100000,97.38634407858476,0.03728847173950407,11.79165011636537,77.94138468433489,97.39873322927468,116.79415394021699,73.04333207142481,121.64945421789925,0.00076,0.0024361719035694484,0.23837688684230177,0.0,0
dTCMV_clip,100000,115.51836368150268,0.1438087343079185,45.47631478390207,57.27068667129962,107.43112388944422,200.91748226365982,49.23938022479988,237.01422691709698,0.06363,0.5562630233194733,0.6826046060233381,0.00451,0
