strategy,paths,mean,mean_se,sd,q05,q50,q95,lcvar05,ucvar05,shortfall60,expected_shortfall60,avg_glide,ever_above300,negative_steps
PCMV_saved,100000,77.00469551095097,0.05770003802408198,18.24635412344205,38.08393962554402,81.59476816872683,97.36961739544861,30.811905769912723,98.04433778053695,0.17816,2.774822259359728,0.5849283431620592,0.0,0
DOMV_saved,100000,71.54568096107474,0.037163732565741806,11.75220412611174,52.10795800433362,71.53758404743783,91.01574812650007,47.547377839707266,95.88575885148055,0.1631,1.013543908039318,0.338544600496807,0.0,0
cTCMV_saved,100000,72.43812374068462,0.04146080910879083,13.111059041723491,51.21491993095203,72.26664690941362,94.6024545172312,46.36942496309972,100.43051562075492,0.1736,1.1340959982191174,0.3701937250778851,0.0,0
dTCMV_saved,100000,81.46450694063104,0.09939132601202474,31.43029698623382,41.050783212285396,75.7499379966838,140.62295310670558,35.502364066724354,165.4223540052346,0.26322,2.9648907641641573,0.6726322930530448,0.00014,0
CP,100000,75.34725221505394,0.059844179966363306,18.924391339872678,48.76689173230141,73.00953011628005,110.05867955318837,44.28859294396465,122.41632333150892,0.2136,1.581285683306128,0.46947350000000015,0.0,0
PCMV_clip_fixed_target,100000,77.63249757140781,0.06076644032956122,19.21603567421263,36.56644291990706,83.76847864410995,98.56633516590584,29.63254286584807,100.02816601000134,0.18359,3.0594097647409795,0.617849699080675,0.0,0
DOMV_clip,100000,70.39134053257325,0.031880232007098136,10.081414547703138,53.78723058125141,70.40790284989697,86.96698353826892,49.57116260077002,91.1635392315377,0.15148,0.7937757136668802,0.292824527357828,0.0,0
cTCMV_clip,100000,71.66109645453749,0.03728847173950408,11.791650116365371,52.216137060287636,71.67348560522758,91.06890631616989,47.31808444737755,95.92420659385198,0.1619,1.0040103460471292,0.3411316902258734,0.0,0
dTCMV_clip,100000,82.16376743166204,0.1022839599918471,32.34502816757744,40.73273482083031,76.41196395665949,142.89467025804205,35.023503397993316,168.5783413965423,0.26253,3.0563160717358704,0.6980997432961625,0.0002,0
