strategy,paths,mean,mean_se,sd,q05,q50,q95,lcvar05,ucvar05,shortfall60,expected_shortfall60,avg_glide,ever_above300,negative_steps
PCMV_saved,100000,52.400015470272116,0.05462734689296562,17.27468387138937,26.692981028958474,50.500951997093615,81.39457051221544,23.123285597125243,85.72111236121778,0.659,11.85325366063195,0.9350649876939927,0.0,0
DOMV_saved,100000,47.84404941367993,0.023258987453909738,7.355137642363538,35.90617343146836,47.69289880621957,60.241861002141185,32.96368062473709,63.26772145012759,0.94642,12.319782785156862,0.42694385605369106,0.0,0
cTCMV_saved,100000,48.29393392616154,0.026313354998839182,8.32101346769091,35.16091460870633,47.99909988352796,62.39063679472806,31.937194312696448,66.25556261022254,0.91706,12.055553959238496,0.4764178065605898,0.0,0
dTCMV_saved,100000,51.35025921168657,0.05156867883397319,16.307448104107138,29.45868908150849,48.99471950136143,81.37864718114656,26.50992323409404,93.86915876733612,0.74549,12.002339544489598,0.7899730909908299,0.0,0
CP,100000,48.288008375119695,0.02742073040477886,8.671196318453203,35.47767986081591,47.504471566287165,63.796857007476035,33.08692816413174,68.98753418340496,0.90533,12.236719122958435,0.4694735,0.0,0
PCMV_clip_fixed_target,100000,52.47362907844073,0.05533813544412185,17.49945494703185,26.682444109068626,50.27632989679836,82.39597073559227,23.110871166591572,86.60818765428765,0.65672,11.928954425684278,0.9417401548804956,0.0,0
DOMV_clip,100000,47.28014481888894,0.01956049801188101,6.185572588473932,37.08115209387827,47.2743135624947,57.49748867102181,34.58134081940931,60.123275641741344,0.97928,12.767166415093245,0.36221946661047705,0.0,0
cTCMV_clip,100000,48.34316854437586,0.02627428127366216,8.308657270868224,34.65506189698484,48.326664489323946,62.06926611187686,31.27444437911007,65.60492786999495,0.9202,11.965818478968504,0.48436871258553377,0.0,0
dTCMV_clip,100000,51.725406116556435,0.05364650827365046,16.9645154659803,28.94655984741781,49.17877125947108,83.21730294153375,25.548951299689886,95.91871385039686,0.73344,11.968190448087041,0.8329194710327485,0.0,0
