strategy,paths,mean,mean_se,sd,q05,q50,q95,lcvar05,ucvar05,shortfall60,expected_shortfall60,avg_glide,ever_above300,negative_steps
PCMV_saved,200000,85.42144757952784,0.044201977435143223,19.76772525697841,37.339634425173394,95.69671952808548,99.45752344377881,28.346344634633784,99.61576575021397,0.125775,2.455987620394193,0.6676245885926532,0.0,0
DOMV_saved,200000,85.15652812029785,0.05525070575602651,24.708866775062837,46.55857679604565,83.94411426630614,127.79161603255919,39.004195150402666,139.88297113226,0.15477,1.6783908895235562,0.6258885500702059,0.0,0
cTCMV_saved,200000,85.15854385681878,0.05500613892996042,24.599493165437806,46.75101304717194,83.73520078085738,127.23449655294885,39.173258764946745,139.83441248895576,0.154355,1.6528244062040962,0.6176214844882931,0.0,0
dTCMV_saved,200000,85.14523534767486,0.08540801056035818,38.19562348719616,38.24128665839909,77.68420026340054,156.43056498602982,32.43367663842999,190.09713804427795,0.27164,3.490206666296575,0.4323001250782948,0.001365,0
CP,200000,84.79196667357624,0.07099403061245356,31.749495689229434,45.16502521382262,78.94142763577645,144.32903431334714,39.79912467056651,171.44287667989073,0.214335,2.099872824609434,0.46947350000000015,0.000295,0
PCMV_clip_fixed_target,200000,87.07512200727639,0.04772482435574528,21.34319029473681,35.18983636273504,96.3185509638101,103.8655125553112,26.941271223966645,104.19980323218039,0.1336,2.7467822297299227,0.6975045308015069,0.0,0
DOMV_clip,200000,88.90406352662467,0.06554596285101968,29.313045717111187,44.09775287397881,86.96978081293305,140.25558273105366,35.71029204011682,155.30492083020994,0.164185,2.0111320988183485,0.6897992680095494,0.0,0
cTCMV_clip,200000,83.16854169330479,0.048262352054767726,21.58357998969746,47.79019453615133,83.02648281648618,118.95496834606166,39.26381125585508,128.20228066212545,0.142225,1.5299390382019342,0.6060671890965028,0.0,0
dTCMV_clip,200000,89.6181011441496,0.09179757646283342,41.053124228126045,39.63993982874656,81.4722685457814,166.87025102785006,33.38531960913946,203.36268685716203,0.240825,3.0670798730885087,0.5397078707829973,0.001965,0
