year,low_state_x,low_state_delta_risky_amount,low_state_cvar05_gain,low_state_q05_gain,median_state_delta_risky_amount,high_state_x,high_state_delta_risky_amount,high_state_q95_gain,high_state_skewness_gain,high_state_cvar05_change
10,8.355399358813667,-6.781768754806219,-3.6665703631991917,-5.7035896292131625,-9.428317784272977,14.93274943403327,-10.752336376079057,42.511951600944144,0.9333221669250555,-5.979291181899541
20,18.169065768560657,-11.164143269272921,-2.685306923444724,-4.111145507731916,-6.715082638742473,33.34486740654338,0.0,59.81796576921228,0.9489760873682596,-8.029612198845399
30,29.233721898811464,0.0,-3.075881742756156,-4.043174300959858,2.7781737204870183,67.41219352243881,8.719351670764357,73.35284282528134,0.9264572416782875,-18.27418216040759
35,36.19688736289694,5.170983908985274,-4.669223969878864,-5.436045297006967,16.71618664394107,94.7745686360966,34.819851638001154,69.10774080220006,0.8192451719843091,-27.271520546686858
39,40.63729289483591,20.318646447417954,-5.553157351322149,-4.244890952400667,45.12101168745977,127.80490318244834,91.28921655889167,35.329099091649425,0.46765697905277803,-27.54577551657792
