strategy,calibration_parameter,calibrated_value,target_mean,achieved_mean,absolute_mean_error
PCMV,gamma_p,0.05,84.7770864,84.77708640828797,8.287969421871821e-09
DOMV,gamma_d,0.0912608,84.7770864,84.7770898981271,3.498127099987869e-06
cTCMV,gamma_c,0.059638671875,84.7770864,84.77920606187617,0.002119661876164969
dTCMV,gamma_0,1.193359375,84.7770864,84.77813764030321,0.001051240303212353
CP,theta_cp,0.4694735,84.7770864,84.7770849681044,1.431895597647781e-06
