x_max,n_x,mean,stdev,q05,q50,q95,lcvar05,ucvar95,average_glide,epsilon_M,epsilon_Q,max_raw_mass_error,max_step_upper_excursion_mass,cumulative_upper_excursion_flux,terminal_upper_boundary_mass,max_step_lower_excursion_mass,abs_diff_vs_xmax2100_mean,abs_diff_vs_xmax2100_stdev,abs_diff_vs_xmax2100_q05,abs_diff_vs_xmax2100_q50,abs_diff_vs_xmax2100_q95,abs_diff_vs_xmax2100_lcvar05,abs_diff_vs_xmax2100_ucvar95,abs_diff_vs_xmax2100_average_glide
300.0,151,84.77813764030321,41.34896534024826,34.75990745205544,76.78266799050033,164.40491606875526,28.39828677069946,199.24403261434864,0.43572343797081875,3.183231456205249e-12,3.510649548843503e-10,1.4432899320127035e-15,0.0010907103606553282,0.018820861699012516,0.0011468378397020587,0.0,0.08023527025306976,0.6666983717240313,0.0,0.0,0.0,0.002356505476605264,2.943703872445127,0.0042110293284715605
450.0,226,84.67643881026733,41.95239226935317,34.75990745205544,76.78266799050033,164.40491606875526,28.400842647707922,202.00354953791606,0.43128694232731607,3.268496584496461e-12,3.5288394428789616e-10,1.6653345369377348e-15,4.9714356104283484e-05,0.0005173603426200266,5.047248369045634e-05,0.0,0.021463559782816333,0.06327144261912565,0.0,0.0,0.0,0.00019937153185622947,0.18418694887770926,0.0002254663150311198
600.0,301,84.69716266747919,42.00988769076856,34.75990745205544,76.78266799050033,164.40491606875526,28.400703666986875,202.17731365625798,0.43151999322218176,3.254285729781259e-12,3.583409124985337e-10,1.9984014443252818e-15,3.2638326299707502e-06,2.539388414663371e-05,3.340832678905578e-06,0.0,0.000739702570953682,0.005776021203736548,0.0,0.0,0.0,6.0390810808996775e-05,0.010422830535787853,7.584579834574168e-06
900.0,451,84.69779244454917,42.01565739946204,34.75990745205544,76.78266799050033,164.40491606875526,28.400633949766128,202.18785050925754,0.4315089981065868,3.339550858072471e-12,3.346940502524376e-10,2.220446049250313e-15,3.4503932367441987e-08,1.8908889753595862e-07,3.476609225843026e-08,0.0,0.00010992550097910225,6.312510251405001e-06,0.0,0.0,0.0,9.326409937671087e-06,0.00011402246377656411,3.410535760361988e-06
1200.0,601,84.69794540678237,42.01566677329155,34.75990745205544,76.78266799050033,164.40491606875526,28.400644082189217,202.18756769794163,0.43151335474456953,3.311129148642067e-12,3.5288394428789616e-10,2.4424906541753444e-15,7.946400656886174e-10,3.5719776973310223e-09,8.097869652046199e-10,0.0,4.303673222239013e-05,3.061319254982209e-06,0.0,0.0,0.0,8.06013151333218e-07,0.0001687888521360037,9.461022223433702e-07
1500.0,751,84.69798934138413,42.01569236020705,34.75990745205544,76.78266799050033,164.40491606875526,28.4006441859013,202.1875693960303,0.4315140526710907,3.282707439211663e-12,3.4378899727016687e-10,3.552713678800501e-15,3.312835691967161e-11,1.269944316586061e-10,3.3368516205397315e-11,0.0,8.697133398527512e-05,2.864823475334788e-05,0.0,0.0,0.0,9.097252338108319e-07,0.00016709076345478024,1.6440287435304235e-06
1800.0,901,84.69790637857011,42.015665680139456,34.75990745205544,76.78266799050033,164.40491606875526,28.400643308178537,202.18773397825836,0.4315124775647695,3.225864020350855e-12,3.3287506084889174e-10,1.9984014443252818e-15,2.0103389161092365e-12,6.959259520590674e-12,2.0275702988517305e-12,0.0,4.008519965736923e-06,1.968167161692236e-06,0.0,0.0,0.0,3.200247178369864e-08,2.5085354025122797e-06,6.892242232492407e-08
2100.0,1051,84.69790237005014,42.015663711972294,34.75990745205544,76.78266799050033,164.40491606875526,28.400643276176066,202.18773648679377,0.4315124086423472,3.311129148642067e-12,3.4015101846307516e-10,2.4424906541753444e-15,1.6225190839855909e-13,5.159428187970428e-13,1.6364087731958443e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
