strategy,backward_mean,forward_mean,epsilon_M,backward_second_moment,forward_second_moment,epsilon_Q,backward_stdev,forward_stdev,stdev_abs_residual
PCMV,84.7770864082846,84.77708640828797,3.367972567502875e-12,7714.286158067164,7714.286158067469,3.0468072509393096e-10,22.959350561141978,22.959350561136173,5.8051341511600185e-12
DOMV,84.77708989812379,84.7770898981271,3.311129148642067e-12,8006.573746206269,8006.573746206585,3.1650415621697903e-10,28.625491692051437,28.625491692047163,4.273914555597003e-12
cTCMV,84.77920606187274,84.77920606187617,3.424815986363683e-12,8002.774806369079,8002.774806369408,3.292370820418e-10,28.55277615027301,28.5527761502686,4.412470389070222e-12
dTCMV,84.77813764030003,84.77813764030326,3.225864020350855e-12,8897.069556466902,8897.069556467253,3.510649548843503e-10,41.3489653402506,41.348965340248235,2.3661073100811336e-12
