year,state,state_quantile,starting_x,future_contribution_pv_H,total_pension_wealth_x_plus_H,dtcmv_risk_aversion_gamma,policy,risky_fraction,risky_amount,mean,stdev,skewness,q05,q50,q95,cvar05,ucvar95,downside_spread,upside_spread,tail_asymmetry
10,q10,0.1,8.355399358813667,24.14617597237612,32.501575331189784,0.036716970264970686,dTCMV,0.188336970673641,1.5736306040074484,77.24596978178674,37.57850639774997,1.399061695868218,31.95199641049627,69.24959548354624,149.35164659962018,26.215454091517575,181.48943115071327,37.29759907304997,80.10205111607394,2.147646312546453
10,q10,0.1,8.355399358813667,24.14617597237612,32.501575331189784,0.036716970264970686,cTCMV,1.0,8.355399358813667,75.61305275929321,25.165140775396186,0.38576310072015024,37.65558603970943,74.87211810870319,118.63753046550686,29.882024454716767,132.578111888575,37.21653206899376,43.765412356803665,1.175966967466719
10,q50,0.5,10.999704081651807,24.14617597237612,35.14588005402793,0.03395445990157341,dTCMV,0.14285714285714285,1.5713862973788295,83.77755093261379,40.35646937668117,1.347015478196479,34.75990745205544,74.87211810870319,159.32702182283685,28.539668738183437,195.31699642829452,40.112210656647754,84.45490371413366,2.105466199234146
10,q50,0.5,10.999704081651807,24.14617597237612,35.14588005402793,0.03395445990157341,cTCMV,1.0,10.999704081651807,80.89324142968664,26.051163044501404,0.3620169178187126,40.63729289483591,78.71121401515323,125.48911151227436,33.15198751069054,139.6634383991188,38.07392112031732,46.77789749712113,1.228607301814204
10,q90,0.9,14.93274943403327,24.14617597237612,39.07892540640939,0.03053715941749707,dTCMV,0.13709217768972307,2.0471631388066003,93.15136459647633,44.02780777397349,1.2654735266147843,39.135789990949135,84.60372804643204,177.35900717570934,32.080187717964485,214.13253586889425,45.467938055482904,92.7552791292773,2.040015076471893
10,q90,0.9,14.93274943403327,24.14617597237612,39.07892540640939,0.03053715941749707,cTCMV,0.8571428571428571,12.799499514885659,88.29938615818473,27.123038758390578,0.3321513596897288,46.852396820816026,86.60316926201418,134.8470555747652,38.059478899864025,149.26678301583067,39.75077244119815,48.243886312751016,1.213659090124983
20,q10,0.1,18.169065768560657,17.269531903000658,35.43859767156131,0.03367400104428072,dTCMV,0.14285714285714285,2.5955808240800935,70.57729458342816,33.53092722331202,1.4068798490629177,29.233721898811464,63.793291290635686,134.8470555747652,24.72296017807535,163.28773864679528,34.559569391824226,71.0537642841295,2.0559794446089557
20,q10,0.1,18.169065768560657,17.269531903000658,35.43859767156131,0.03367400104428072,cTCMV,0.7573159934927712,13.759724093353014,64.44154938622293,19.809028675727,0.31568403712794013,33.34486740654338,63.793291290635686,98.96309330796707,27.408267101520075,108.63515234498884,30.448423884092307,35.169802017331385,1.1550614951765892
20,q50,0.5,24.074315644008184,17.269531903000658,41.34384754700884,0.028864255404461928,dTCMV,0.3639257398615283,8.761263132405643,82.64111119149663,38.689440053283064,1.334233388074131,34.75990745205544,74.87211810870319,156.81053633662316,29.160858423553613,189.0810772256248,40.112210656647754,81.93841822791997,2.042730053681007
20,q50,0.5,24.074315644008184,17.269531903000658,41.34384754700884,0.028864255404461928,cTCMV,0.6428571428571428,15.476345771148116,73.32351051009793,20.864122760750913,0.285000618599519,40.63729289483591,72.9796780980473,109.72844366410754,34.033134724284984,119.37498055196625,32.34238520321139,36.74876556606024,1.1362416635372392
20,q90,0.9,33.34486740654338,17.269531903000658,50.61439930954404,0.023577467900028515,dTCMV,0.5,16.67243370327169,100.32798270698048,45.28362979696224,1.1953307209716029,43.70340373471835,92.7058701311799,185.30707728148664,36.378472246693455,223.79250655976554,49.00246639646156,92.60120715030673,1.8897254354730098
20,q90,0.9,33.34486740654338,17.269531903000658,50.61439930954404,0.023577467900028515,cTCMV,0.5,16.67243370327169,86.94541314106992,22.247087410143205,0.24635463360334336,51.72818579717866,86.60316926201418,125.48911151227436,44.408084445538854,135.77650753122347,34.874983464835516,38.885942250260186,1.1150096254373225
