strategy,step,year,raw_mass_before_normalization,raw_mass_error,lower_excursion_mass,upper_excursion_mass
PCMV,0,0.0,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,1,0.08333333333333333,1.0,0.0,0.0,0.0
PCMV,2,0.16666666666666666,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,3,0.25,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,4,0.3333333333333333,1.0,0.0,0.0,0.0
PCMV,5,0.41666666666666663,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,6,0.5,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,7,0.5833333333333333,1.0,0.0,0.0,0.0
PCMV,8,0.6666666666666666,1.0,0.0,0.0,0.0
PCMV,9,0.75,1.0,0.0,0.0,0.0
PCMV,10,0.8333333333333333,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,11,0.9166666666666666,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,12,1.0,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,13,1.0833333333333333,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,14,1.1666666666666665,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,15,1.25,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,16,1.3333333333333333,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,17,1.4166666666666665,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,18,1.5,1.0,0.0,0.0,0.0
PCMV,19,1.5833333333333333,1.0,0.0,0.0,0.0
PCMV,20,1.6666666666666665,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,21,1.75,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,22,1.8333333333333333,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,23,1.9166666666666665,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,24,2.0,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,25,2.083333333333333,0.9999999999999991,8.881784197001252e-16,0.0,0.0
PCMV,26,2.1666666666666665,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,27,2.25,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,28,2.333333333333333,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,29,2.4166666666666665,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,30,2.5,1.0,0.0,0.0,0.0
PCMV,31,2.583333333333333,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,32,2.6666666666666665,0.9999999999999996,4.440892098500626e-16,0.0,0.0
PCMV,33,2.75,1.0000000000000004,4.440892098500626e-16,0.0,0.0
PCMV,34,2.833333333333333,1.0,0.0,0.0,0.0
PCMV,35,2.9166666666666665,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,36,3.0,1.0,0.0,0.0,0.0
PCMV,37,3.083333333333333,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,38,3.1666666666666665,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,39,3.25,1.0,0.0,0.0,0.0
PCMV,40,3.333333333333333,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,41,3.4166666666666665,1.0,0.0,0.0,0.0
PCMV,42,3.5,1.0,0.0,0.0,0.0
PCMV,43,3.583333333333333,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,44,3.6666666666666665,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,45,3.75,1.0,0.0,0.0,0.0
PCMV,46,3.833333333333333,1.0,0.0,0.0,0.0
PCMV,47,3.9166666666666665,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,48,4.0,1.0,0.0,0.0,0.0
PCMV,49,4.083333333333333,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,50,4.166666666666666,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,51,4.25,1.0000000000000007,6.661338147750939e-16,0.0,0.0
PCMV,52,4.333333333333333,0.9999999999999993,6.661338147750939e-16,0.0,0.0
PCMV,53,4.416666666666666,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,54,4.5,1.0,0.0,0.0,0.0
PCMV,55,4.583333333333333,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,56,4.666666666666666,1.0,0.0,0.0,0.0
PCMV,57,4.75,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,58,4.833333333333333,1.0,0.0,0.0,0.0
PCMV,59,4.916666666666666,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,60,5.0,1.0000000000000004,4.440892098500626e-16,0.0,0.0
PCMV,61,5.083333333333333,0.9999999999999994,5.551115123125783e-16,0.0,0.0
PCMV,62,5.166666666666666,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,63,5.25,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,64,5.333333333333333,1.0000000000000007,6.661338147750939e-16,0.0,0.0
PCMV,65,5.416666666666666,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,66,5.5,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,67,5.583333333333333,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,68,5.666666666666666,0.9999999999999994,5.551115123125783e-16,0.0,0.0
PCMV,69,5.75,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,70,5.833333333333333,1.0,0.0,0.0,0.0
PCMV,71,5.916666666666666,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,72,6.0,1.0,0.0,0.0,0.0
PCMV,73,6.083333333333333,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,74,6.166666666666666,1.0,0.0,0.0,0.0
PCMV,75,6.25,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,76,6.333333333333333,0.9999999999999994,5.551115123125783e-16,0.0,0.0
PCMV,77,6.416666666666666,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,78,6.5,1.0,0.0,0.0,0.0
PCMV,79,6.583333333333333,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,80,6.666666666666666,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,81,6.75,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,82,6.833333333333333,1.0,0.0,0.0,0.0
PCMV,83,6.916666666666666,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,84,7.0,1.0,0.0,0.0,0.0
PCMV,85,7.083333333333333,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,86,7.166666666666666,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,87,7.25,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,88,7.333333333333333,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,89,7.416666666666666,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
PCMV,90,7.5,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,91,7.583333333333333,0.9999999999999997,3.3306690738754696e-16,0.0,0.0
PCMV,92,7.666666666666666,1.0,0.0,0.0,0.0
PCMV,93,7.75,1.0000000000000004,4.440892098500626e-16,0.0,0.0
PCMV,94,7.833333333333333,0.9999999999999992,7.771561172376096e-16,0.0,0.0
PCMV,95,7.916666666666666,0.9999999999999998,2.220446049250313e-16,0.0,0.0
PCMV,96,8.0,1.0,0.0,0.0,0.0
PCMV,97,8.083333333333332,1.0000000000000004,4.440892098500626e-16,0.0,0.0
PCMV,98,8.166666666666666,0.9999999999999994,5.551115123125783e-16,0.0,0.0
PCMV,99,8.25,1.0000000000000002,2.220446049250313e-16,0.0,0.0
PCMV,100,8.333333333333332,0.9999999999999994,5.551115123125783e-16,0.0,0.0
PCMV,101,8.416666666666666,0.9999999999999999,1.1102230246251565e-16,0.0,0.0
