strategy,x_max,max_raw_mass_error,max_step_lower_excursion_mass,cumulative_lower_excursion_flux,max_step_upper_excursion_mass,cumulative_upper_excursion_flux,terminal_upper_boundary_mass,max_l1_difference_from_saved_pmf
PCMV,300.0,9.992007221626409e-16,0.0,0.0,3.0260684936248375e-26,1.423053164140028e-25,3.827023257047527e-26,8.62673383282581e-16
DOMV,300.0,1.4432899320127035e-15,0.0,0.0,5.615808354756097e-06,0.000772635898728832,1.1335116592396519e-08,9.80737380909704e-16
cTCMV,300.0,1.5543122344752192e-15,0.0,0.0,4.5651894670819644e-11,4.738496129055651e-09,3.15904175010451e-12,1.0965840594431299e-15
dTCMV,300.0,1.4432899320127035e-15,0.0,0.0,0.0010907103606553282,0.018820861699012516,0.0011468378397020587,1.0617778423331929e-15
