strategy,year,median_x,conditional_mean,conditional_std,risky_fraction
PCMV,0,0.08333333333333333,84.77708640828797,22.959350561136212,1.0
PCMV,10,11.94051980517448,84.15043536003051,22.674634037708643,1.0
PCMV,20,31.95199641049627,86.1509555087381,19.528400932389804,0.6825146675109863
PCMV,30,60.24979081859183,89.55435981040844,13.27711115032378,0.3571428656578064
PCMV,35,76.78266799050033,91.65210066840851,8.912296754176545,0.2857142984867096
PCMV,39,90.65433953454442,93.5611034998104,3.625233048762646,0.16737966239452362
DOMV,0,0.08333333333333333,84.7770898981271,28.625491692047113,1.0
DOMV,10,11.94051980517448,82.55724602577152,26.177397107939207,1.0
DOMV,20,30.581532253294114,82.25346763209893,21.183031706991112,0.5684446764742415
DOMV,30,55.07830796684873,83.04604218084792,14.312875090767244,0.3690767837139963
DOMV,35,69.24959548354624,83.45183385947962,9.490362022915251,0.2752039877096585
DOMV,39,80.65764491557572,83.4733203828979,3.8506235608243453,0.25505473297099324
cTCMV,0,0.08333333333333333,84.77920606187617,28.552776150268564,1.0
cTCMV,10,11.94051980517448,82.69837222290096,26.32536569786148,0.931942622877062
cTCMV,20,30.581532253294114,82.91106446359257,21.85864510702709,0.5222189100231449
cTCMV,30,53.39339325316426,82.14523557677731,15.40767348893332,0.3609928296117984
cTCMV,35,67.41219352243881,82.54452374285464,10.875967610955678,0.3264099484520307
cTCMV,39,78.71121401515323,81.83967148328131,4.823023619821658,0.28759644377677335
dTCMV,0,0.08333333333333333,84.77813764030321,41.34896534024827,1.0
dTCMV,10,10.999704081651807,83.77755093261379,40.35646937668117,0.14285714285714285
dTCMV,20,24.074315644008184,82.64111119149663,38.689440053283064,0.3639257398615283
dTCMV,30,45.267631401425994,81.37467421348761,32.694460853229096,0.4899436195714529
dTCMV,35,58.50665325379375,79.92651300273292,27.071441876616326,0.6428571428571428
dTCMV,39,72.9796780980473,78.06642475024111,14.049475749276448,0.9285714285714285
