scenario,label,profile,strategy,mean,stdev,q05,q50,q95,cvar05,mean_glide
sigma_high,sigma=0.22,constant,dTCMV,71.01527594169137,20.79322012272276,40.75233888993367,67.30200127039315,110.23214577880631,36.58449478299654,0.37212007988540446
sigma_high,sigma=0.22,constant,CP,69.74287631678573,20.798820060071577,40.75233888993367,67.30200127039315,106.16493387178275,37.09930653855612,0.273138427734375
contrib_constant,Constant,constant,PCMV,71.61184766328385,12.297949841083907,47.887740727664315,73.58823624058402,87.18581713214597,34.56879922269613,0.4771623377695041
contrib_constant,Constant,constant,DOMV,68.83079325359697,15.066697550052421,43.05423073287921,67.30200127039315,94.50888258253823,39.41642323580582,0.36080461916939577
contrib_constant,Constant,constant,cTCMV,68.66932171700256,13.610077549682318,47.887740727664315,67.30200127039315,90.8030588031042,41.54066944141179,0.4095285661431392
contrib_constant,Constant,constant,dTCMV,75.17068848009679,23.80110604819427,43.05423073287921,70.4030253895385,118.64350863405888,38.36810236983581,0.40016118935347117
contrib_constant,Constant,constant,CP,69.74288081812747,18.270848357475433,43.05423073287921,67.30200127039315,102.18911695968411,39.76796575063522,0.273138427734375
contrib_linear,Linear increase,linear,PCMV,62.12252243338719,10.629059240366162,40.75233888993367,64.28440880960174,76.85838218437854,32.899102238003465,0.6359448239906059
contrib_linear,Linear increase,linear,DOMV,60.13332971165137,12.098509987282931,40.75233888993367,58.49646389312777,80.21420504499187,37.47852206822151,0.5807485737107518
contrib_linear,Linear increase,linear,cTCMV,60.98146843868946,11.700648441864196,43.05423073287921,61.34948603696694,80.21420504499187,37.89748175426429,0.6072369143481844
contrib_linear,Linear increase,linear,dTCMV,67.42359254734143,20.25714189808262,40.75233888993367,64.28440880960174,106.16493387178275,35.08856484880737,0.6715894727503668
contrib_linear,Linear increase,linear,CP,58.15896323641113,12.073572207214676,40.75233888993367,55.72456602791986,80.21420504499187,37.763709105976275,0.273138427734375
contrib_quadratic,Quadratic increase,quadratic,PCMV,55.933835156445255,8.23784145559907,40.75233888993367,58.49646389312777,67.30200127039315,32.90386840476082,0.7251776441887705
contrib_quadratic,Quadratic increase,quadratic,DOMV,54.93606864309079,10.11135621973147,38.525913564768324,55.72456602791986,73.58823624058402,37.32346307535989,0.6507722905455066
contrib_quadratic,Quadratic increase,quadratic,cTCMV,56.17642436595101,10.075163991194831,40.75233888993367,55.72456602791986,73.58823624058402,37.52106625691218,0.713493623587655
contrib_quadratic,Quadratic increase,quadratic,dTCMV,61.93434175216512,17.553185324472675,38.525913564768324,58.49646389312777,94.50888258253823,33.80887118220039,0.8057358348510757
contrib_quadratic,Quadratic increase,quadratic,CP,52.8473372402168,8.825157789567859,40.75233888993367,53.033008588991066,67.30200127039315,37.75921551860485,0.273138427734375
