strategy,month,wealth,global_continuous_action_gap,best_fraction,saved_fraction
cTCMV,60,550.0,0.0,0.0,0.0
cTCMV,120,5.0,0.0,1.0,1.0
cTCMV,120,15.0,1.3763804247446387e-06,0.8114149345834435,0.8125
cTCMV,120,30.0,5.955368308718789e-06,0.48760201405362635,0.484375
cTCMV,120,50.0,6.376225209692166e-05,0.2857837287001548,0.28125
cTCMV,120,75.0,2.868940623557137e-05,0.1941342085325653,0.1875
cTCMV,120,100.0,5.286988454145103e-05,0.15025739381091943,0.140625
cTCMV,120,150.0,4.3293351836837246e-07,0.09351625630083858,0.09375
cTCMV,120,250.0,0.00024442844733130187,0.059357879538529175,0.0625
cTCMV,120,400.0,0.0,0.0,0.015625
cTCMV,120,550.0,0.0,0.9668177526812625,0.8125
cTCMV,240,5.0,0.0,1.0,1.0
cTCMV,240,15.0,1.9259722911613153e-05,0.8961632440789049,0.890625
cTCMV,240,30.0,2.4691738360616e-05,0.5567388283076793,0.5625
cTCMV,240,50.0,4.3199393658710505e-05,0.34000356655631137,0.34375
cTCMV,240,75.0,4.4260699297637984e-05,0.22102114459419264,0.21875
cTCMV,240,100.0,0.00015171390572277232,0.1615299336131323,0.171875
cTCMV,240,150.0,1.6234111996027423e-05,0.10638057908927359,0.109375
cTCMV,240,250.0,0.00018335765230403922,0.06528972141845503,0.0625
cTCMV,240,400.0,0.0005685989465291641,0.05828542542349619,0.0625
cTCMV,240,550.0,0.0,0.0,0.0
cTCMV,360,5.0,0.0,1.0,1.0
cTCMV,360,15.0,1.76959377782282e-05,0.9921477274372956,1.0
cTCMV,360,30.0,8.676839158283656e-07,0.6560825597529156,0.65625
cTCMV,360,50.0,3.259571960256835e-05,0.39422340441246606,0.390625
cTCMV,360,75.0,3.7006338388323456e-05,0.25716770316496373,0.265625
cTCMV,360,100.0,1.706026250758441e-05,0.19351909721890165,0.203125
cTCMV,360,150.0,7.540397234606644e-05,0.13818528120284176,0.140625
cTCMV,360,250.0,8.316672921182544e-05,0.07613368898968557,0.078125
cTCMV,360,400.0,3.4228143476866535e-05,0.04800714810180528,0.046875
cTCMV,360,550.0,0.0,0.0,0.0
cTCMV,420,5.0,0.0,1.0,1.0
cTCMV,420,15.0,7.105427357601002e-15,1.0,1.0
cTCMV,420,30.0,1.164015259291773e-05,0.6683348069074785,0.671875
cTCMV,420,50.0,1.483713532479669e-06,0.4335516866476896,0.4375
cTCMV,420,75.0,3.7862956858703e-05,0.2736091936887558,0.28125
cTCMV,420,100.0,9.862780449054753e-05,0.2098636326780602,0.21875
cTCMV,420,150.0,9.406754998053657e-06,0.13818528120284176,0.140625
cTCMV,420,250.0,0.0003100746663449172,0.08697765656091612,0.09375
cTCMV,420,400.0,0.0003538301114076603,0.05898534054560861,0.0625
cTCMV,420,550.0,0.0006580708176215921,0.010576975945424524,0.015625
cTCMV,468,5.0,0.0,1.0,1.0
cTCMV,468,15.0,0.0,1.0,1.0
cTCMV,468,30.0,2.491043127506032e-05,0.755426291198152,0.75
cTCMV,468,50.0,9.42970157069567e-06,0.44844324226862264,0.453125
cTCMV,468,75.0,2.2949553823536917e-05,0.29331426173573477,0.296875
cTCMV,468,100.0,9.931183299727309e-06,0.2157497714692889,0.21875
cTCMV,468,150.0,0.00010587323109234603,0.14611807166736884,0.15625
cTCMV,468,250.0,9.602887004689364e-05,0.08697765656091612,0.09375
cTCMV,468,400.0,0.000498116107110036,0.054784627833826295,0.0625
cTCMV,468,550.0,0.000911972413859985,0.04015143295787147,0.046875
cTCMV,479,5.0,0.0,1.0,1.0
cTCMV,479,15.0,1.7763568394002505e-15,1.0,1.0
cTCMV,479,30.0,3.072423197281182e-05,0.7587012033344045,0.765625
cTCMV,479,50.0,1.0244277106608024e-06,0.45513684818040295,0.453125
cTCMV,479,75.0,4.464800809955705e-06,0.3006794698674729,0.296875
cTCMV,479,100.0,1.669568376883035e-07,0.23486442362768753,0.234375
cTCMV,479,150.0,7.250728231156245e-07,0.15500639743015746,0.15625
cTCMV,479,250.0,6.163894283872651e-07,0.09360122506433582,0.09375
cTCMV,479,400.0,0.00035290198030679676,0.05627445951567138,0.0625
cTCMV,479,550.0,0.0006786474459659075,0.04107661213427707,0.046875
dTCMV,0,5.0,6.287587694941976e-07,0.40901924233341536,0.40625
dTCMV,0,15.0,2.8786707900962938e-05,0.2692165560218856,0.265625
dTCMV,0,30.0,2.2844787892495333e-05,0.15936390252673194,0.15625
dTCMV,0,50.0,9.660807279487926e-06,0.12312421513168692,0.125
dTCMV,0,75.0,2.2490362994176394e-06,0.10814865472668586,0.109375
dTCMV,0,100.0,2.6710233015592166e-05,0.22345078071100696,0.234375
dTCMV,0,150.0,0.00016333589491068778,0.44488849132551644,0.453125
dTCMV,0,250.0,6.569024708369398e-05,0.2262553483665259,0.234375
dTCMV,0,400.0,0.0,0.0,0.0
dTCMV,0,550.0,0.0,0.0,0.0
dTCMV,60,5.0,8.810099856759734e-06,0.8415370667257547,0.84375
dTCMV,60,15.0,7.090996987813014e-06,0.3001008554074848,0.296875
dTCMV,60,30.0,3.6987579051128705e-05,0.21650282477284657,0.21875
dTCMV,60,50.0,4.7260954119110465e-05,0.16267536024157545,0.171875
dTCMV,60,75.0,7.183091940987651e-05,0.1487280274526505,0.15625
dTCMV,60,100.0,0.0002779486436281786,0.053090257900821045,0.0625
dTCMV,60,150.0,0.00013652340965109033,0.44543102905439197,0.453125
dTCMV,60,250.0,5.2206211194061325e-06,0.31470097555676996,0.3125
dTCMV,60,400.0,1.1368683772161603e-13,0.026627427185464934,0.0
dTCMV,60,550.0,0.0,0.0,0.0
dTCMV,120,5.0,2.959205787078645e-06,0.8415370667257547,0.84375
dTCMV,120,15.0,2.9886336108120304e-05,0.3001008554074848,0.3125
