strategy,paths,seed,mean,mean_se,sd,q05,median,q95,lcvar05,shortfall60,expected_shortfall60,ever_above_cap,negative_steps
PCMV,1000000,20260912,84.77451015101103,0.0189481795855956,18.9481795855956,38.18344198307194,92.34923420880341,100.47004830396781,28.797268154299314,0.117468,2.3065754814826884,0.0,0
DOMV,1000000,20260912,84.77906476724291,0.024408504676871706,24.408504676871704,46.91796982817433,83.47615686437268,126.93177065354085,39.19886807907043,0.155303,1.6453170612341619,0.0,0
cTCMV,1000000,20260912,84.77660451676648,0.023112853561325097,23.112853561325096,47.15123208804789,84.4867082471863,123.28334268038036,38.48732278236109,0.142893,1.6016359716861206,0.0,0
dTCMV,1000000,20260912,84.7754055550487,0.03224649112687352,32.24649112687352,43.25198437356695,79.24356430065816,145.12290932141136,37.44043223903982,0.22544,2.4258833523327996,0.0,0
CP,1000000,20260912,84.78538898025519,0.031687356190880485,31.687356190880482,45.226891281042455,78.92994404809293,144.18618553363237,39.899531549582754,0.214324,2.0858349428060308,0.0,0
