eta0,gamma0,mean,stdev,variance,skewness,q01,q05,q50,q95,q01_interp,q05_interp,q50_interp,q95_interp,cvar05,ucvar95,terminal_boundary_mass,mean_glide
0.0,2.5,77.65143968163426,22.04763462044148,486.09819235648973,0.8653706099525887,38.97618564258839,47.15831480854689,74.72402479222247,118.15370055571191,38.93694269072619,47.14571284446287,74.63871373613675,117.99124943189645,42.21225493883564,133.31289508974479,7.566267417821176e-20,0.44058148782002937
0.5,2.5,79.40601807515222,23.692762275553644,561.3469842458978,0.913947179954819,38.48437657630037,47.02601027848822,76.14487041037883,123.04791916061764,38.425763466165485,46.970908584867104,76.02396365571312,122.90308479760064,41.836763305867954,139.75454067311696,6.995979040785132e-18,0.47254280750175115
1.0,2.5,82.82391497494041,26.88574678573099,722.8433802264443,1.0028906602114533,37.7510634807408,46.76181963413005,78.85597064484861,132.6675597103881,37.639884974750814,46.72103787240449,78.71236478136578,132.47840632330647,41.23944862394822,152.38283292325914,4.513050014509557e-15,0.5366212501438395
2.0,2.5,104.24483340147839,60.079978010037095,3609.6037576865406,2.294152207254137,31.62068402147771,41.97588869251623,89.20943988660807,217.5282339967439,31.519841289063848,41.96188036514907,89.15037720569751,217.30899106895393,35.643701222742415,286.4890251091358,3.077916637003874e-06,0.776514934727586
