eta0,gamma0,mean,stdev,variance,third_central_moment,skewness,q05,q50,q95,cvar05,ucvar95,F0_backward,F0_forward,G0_backward,G0_forward,K0_backward,K0_forward,mean_abs_glide,mean_upper_binding,terminal_boundary_mass
0.0,1.193359375,89.3473910588881,42.26274402692907,1786.1395326857287,98482.2074774419,1.3046220080493904,37.362119156575176,80.65764491557572,169.5423188439324,31.286630136171397,205.79671806906447,89.5497576063638,89.34739105888814,9881.698064790866,9769.095821715604,1337902.9181655047,1290499.2467772386,0.5286245263442936,0.052507022138058315,0.0013022017547723451
1.0,2.24114990234375,89.33908230537749,36.53985055978757,1335.160678931608,55544.00308135022,1.138510068795262,42.77480047327063,83.01681686865626,158.82252329737298,36.63225571595292,187.24898861844622,89.41465040332699,89.3390823053775,9358.758584543491,9316.632306098618,1144172.1449066615,1126447.4430567834,0.6326582017198613,0.249647811892521,0.00015688191270229305
2.0,2.7523437499999996,89.32384209489845,36.017817099509536,1297.2831486137213,51474.871436321504,1.1016486471814269,42.77480047327063,83.01681686865626,158.82252329737298,36.79672371210181,185.0846650353995,89.38255224614184,89.32384209489844,9309.090671737651,9276.031915208072,1125835.6244123166,1111802.3117358948,0.6512337900636903,0.34193957012043735,8.034459161484116e-05
4.0,3.4556884765625,89.36166551701388,36.79038499412919,1353.5324280162463,53773.61667674266,1.0798570037291704,42.77480047327063,81.83404279948357,160.33781768142163,37.044032660758965,186.726120994413,89.40510921876583,89.3616655170139,9363.785822175432,9339.039691990913,1140842.959789814,1130233.5820801896,0.6625765972133287,0.42221205546878776,4.057443736840158e-05
8.0,4.3354736328125,89.36706729837165,37.04230254395389,1372.1321777578128,49438.24925767152,0.9726781480320068,41.85369614506232,83.01681686865626,158.82252329737298,36.208563268279754,184.27145197088154,89.38693337722763,89.36706729837162,9370.08095653012,9358.604895269493,1136013.7737287642,1131036.180095978,0.6703289894653558,0.47187328712977317,1.644131106984611e-05
